	Size	liver_PPI
ClusterID:1115	1	0
ClusterID:1116	12	32
ClusterID:1117	1	0
ClusterID:1118	1	0
ClusterID:1119	2	1
ClusterID:1120	5	5
ClusterID:1121	1	0
ClusterID:1122	1	0
ClusterID:1123	2	1
ClusterID:1124	2	1
ClusterID:1125	1	0
ClusterID:1126	1	0
ClusterID:1127	3	3
ClusterID:1128	5	9
ClusterID:1129	1	0
ClusterID:1130	5	9
ClusterID:1131	4	4
ClusterID:1132	1	0
ClusterID:1133	4	4
ClusterID:1134	1	0
ClusterID:1135	4	6
ClusterID:1136	1	0
ClusterID:1137	1	0
ClusterID:1138	9	29
ClusterID:1139	1	0
ClusterID:1140	1	0
ClusterID:1141	2	1
ClusterID:1142	3	2
ClusterID:1143	1	0
ClusterID:1144	3	2
ClusterID:1145	1	0
ClusterID:1146	2	1
ClusterID:1147	1	0
